Genome,Resistance Phenotype Ciprofloxacin,Resistance Phenotype Meropenem,Resistance Phenotype Gentamicin
573.6597,0,0,0
72407.2719,1,0,0
573.65916,1,0,0
72407.2858,1,0,0
72407.265,1,0,0
573.65956,1,0,1
573.66499,1,1,1
72407.2192,0,0,0
574.8,1,1,1
573.66018,1,0,1
72407.2324,1,1,0
573.66503,1,1,1
573.66475,1,1,1
573.66232,1,1,1
72407.2932,1,0,0
72407.2816,1,0,1
72407.2182,1,0,0
573.66093,1,0,0
72407.2445,0,0,1
573.66269,1,1,0
573.66368,1,1,0
72407.2809,1,0,0
72407.2495,1,0,1
72407.2578,1,0,0
72407.2567,1,0,1
573.66518,1,1,1
573.66258,1,1,1
72407.2803,1,0,0
72407.2575,0,0,0
72407.2537,0,0,0
72407.2519,1,0,0
72407.2417,1,0,0
573.66451,1,1,1
72407.2381,0,1,1
72407.293,1,0,0
72407.25,0,0,0
573.66507,1,1,1
573.66052,1,0,1
573.65988,1,0,1
72407.257,1,0,0
72407.2869,1,0,0
573.65926,1,0,1
72407.261,1,0,0
72407.2561,1,0,1
72407.2253,0,0,0
573.66286,1,1,1
573.66384,1,1,0
573.65975,1,1,0
72407.2866,1,0,0
72407.2909,1,1,1
72407.2604,1,0,0
72407.2372,0,0,0
573.66233,1,1,1
72407.2358,1,0,0
72407.2394,1,0,0
574.83,1,1,0
573.65953,0,0,0
72407.2533,1,1,1
573.66553,1,1,1
72407.2285,1,0,1
573.66257,1,1,1
573.66416,1,1,1
72407.2357,0,0,0
72407.2939,0,0,0
72407.2836,1,0,1
573.66466,1,1,1
573.66509,1,1,0
72407.2227,1,0,0
72407.251,0,0,0
573.66536,1,1,1
72407.2813,1,0,0
72407.2488,0,0,0
573.66527,1,1,1
574.92,0,0,0
573.66243,1,1,1
573.66079,0,1,0
72407.2766,1,1,0
72407.2425,1,0,0
573.66431,1,1,0
574.87,1,0,1
72407.2784,1,0,0
72407.2288,1,0,0
72407.2247,1,0,0
72407.2579,1,0,0
573.66073,1,0,0
72407.253,1,0,0
573.66056,1,0,1
72407.2941,1,0,0
573.49996,1,1,1
72407.2518,1,0,0
573.66026,1,0,1
72407.2814,0,0,0
72407.2237,1,0,0
72407.2554,1,0,1
72407.2219,1,0,1
72407.2284,0,0,0
72407.2366,1,0,1
573.50584,1,1,1
72407.2667,0,0,0
573.65974,1,1,0
72407.2924,0,0,0
72407.2846,1,0,1
72407.2421,1,0,0
72407.2769,1,0,1
72407.2546,1,0,0
573.66561,1,1,1
72407.2422,0,0,0
72407.2263,1,0,0
72407.2307,1,0,0
72407.2644,1,0,1
72407.2171,1,0,0
72407.2318,0,1,0
72407.2408,1,0,0
573.66363,1,1,1
573.66364,1,1,1
573.54649,1,1,0
72407.2545,1,0,0
72407.2641,1,0,1
573.66374,1,1,0
72407.2933,1,0,0
573.66092,1,0,0
72407.2588,0,0,0
72407.242,1,0,1
573.53747,1,1,0
72407.2627,0,0,1
573.66371,1,1,0
72407.2607,1,0,0
573.66299,1,1,0
573.6623,1,1,1
72407.2789,1,0,0
573.6628,1,0,0
72407.2248,0,0,0
573.66461,1,1,1
72407.2201,1,0,1
72407.266,0,1,0
573.66408,1,1,0
72407.2206,1,0,0
573.66418,1,1,0
72407.2463,1,0,0
72407.2485,1,1,1
72407.2254,0,0,0
573.66496,1,1,0
573.66519,1,1,1
573.6642,1,1,1
573.66486,1,1,1
573.65924,0,0,0
573.65993,1,1,1
573.66254,1,1,0
573.65973,1,0,1
72407.2926,1,0,0
573.6591,1,0,0
72407.2225,1,0,0
573.65981,1,0,0
72407.2903,1,0,1
72407.2662,1,0,0
573.66336,1,1,0
72407.2402,1,0,0
72407.2685,1,1,1
72407.2481,1,1,0
72407.2493,0,0,0
573.66478,1,1,0
72407.2931,1,0,0
72407.2194,1,0,1
72407.2183,0,0,0
573.65904,1,0,1
72407.2709,1,0,1
72407.294,1,0,0
72407.2655,1,0,1
573.65972,1,1,0
573.65928,0,0,1
573.67689,1,0,0
574.11,1,0,1
573.66398,1,1,0
573.56109,1,1,0
573.66278,1,1,1
72407.2362,0,0,0
573.66036,1,0,1
573.66526,1,1,0
573.65947,0,0,0
72407.2683,0,0,0
574.76,1,0,0
72407.2536,0,0,0
573.66222,1,1,0
72407.2585,1,0,0
573.67687,1,0,1
72407.2806,1,0,1
72407.2531,1,0,1
573.6595,1,1,0
72407.2756,1,0,1
573.66452,1,1,1
72407.2664,1,0,1
573.67681,1,0,1
573.663,1,1,0
72407.2859,1,0,0
72407.248,1,1,0
573.66057,0,0,0
72407.2389,1,0,0
573.66357,1,1,1
573.66511,1,1,0
573.65982,1,0,0
72407.2273,1,0,0
72407.2944,1,1,1
573.66313,1,1,1
573.65938,1,0,0
573.664,1,1,1
72407.2494,1,0,1
72407.2962,1,0,1
573.66353,1,1,1
72407.2312,0,1,0
72407.2522,0,0,1
72407.292,1,0,1
573.66263,1,1,0
573.66427,1,1,0
573.66469,1,1,1
573.65911,0,0,0
573.66532,1,1,1
573.65907,1,0,0
573.66319,1,1,0
573.6636,1,1,0
573.66091,1,0,0
72407.2432,1,0,0
574.7,1,0,1
72407.2383,1,0,1
72407.2292,1,0,0
72407.2615,1,0,0
72407.2265,1,0,1
573.66528,1,1,0
72407.2385,1,0,0
72407.2757,1,0,0
72407.273,1,0,0
573.66471,1,0,0
72407.2751,1,0,0
72407.2625,0,1,0
573.65994,1,0,1
72407.2611,1,0,0
573.66379,1,1,1
573.66304,1,1,0
573.66516,1,0,1
72407.2593,1,0,0
573.66235,1,1,1
573.66033,1,0,0
573.66044,1,1,1
573.66276,1,1,1
72407.2509,1,0,0
72407.2871,1,0,0
574.67,1,0,0
573.65944,0,0,0
72407.2434,1,0,1
72407.2336,1,0,1
72407.2792,0,0,1
72407.2215,0,0,0
573.66571,1,0,1
72407.2582,1,0,0
573.66001,1,1,0
573.66477,1,1,1
72407.2671,1,0,1
72407.2306,1,0,0
573.65955,1,0,1
573.66094,1,0,0
573.66396,1,1,1
573.66385,1,1,0
72407.252,1,0,1
72407.2762,1,0,0
574.104,1,0,1
573.66404,1,1,0
573.66444,1,1,0
72407.2807,0,1,0
573.66525,1,1,1
573.66473,1,1,1
72407.2332,1,0,0
573.66412,1,1,0
573.66046,1,0,0
573.66343,1,1,0
72407.2226,0,0,0
573.66491,1,1,0
573.66271,1,1,1
72407.2663,0,1,0
573.66344,1,1,0
72407.2426,1,0,0
72407.2398,1,0,0
573.65906,0,0,0
573.66547,1,1,0
573.66494,1,0,0
573.66454,1,1,0
